date,open,close,high,low,volume
2009-03-27,2380.63,2374.44,2392.77,2361.09,18652
2009-03-30,2377.96,2358.04,2380.19,2348.53,13988
2009-03-31,2313.88,2373.21,2375.71,2299.16,14269
2009-04-01,2380.98,2408.02,2422.62,2380.98,17985
2009-04-02,2417.22,2425.29,2450.0,2417.11,18838
2009-04-03,2446.12,2419.78,2456.81,2406.5,17025
2009-04-07,2422.1,2439.18,2449.54,2407.51,12420
2009-04-08,2429.88,2347.39,2435.39,2346.54,14680
2009-04-09,2345.01,2379.88,2380.94,2331.88,11323
2009-04-10,2400.01,2444.23,2444.98,2392.8,15749
2009-04-13,2468.08,2513.7,2522.45,2464.06,19134
2009-04-14,2512.01,2527.18,2532.09,2495.34,16518
2009-04-15,2514.59,2536.06,2542.54,2485.93,18108
2009-04-16,2542.34,2534.13,2549.31,2497.12,18616
2009-04-17,2524.63,2503.94,2539.35,2481.9,16159
2009-04-20,2500.17,2557.46,2559.04,2497.32,14790
2009-04-21,2523.26,2535.83,2552.6,2499.6,16462
